ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
5524,1957,Graduation,Single,58138.00,0.00,0.00,58.00,635.00,88.00,546.00,172.00,88.00,88.00,3.00,8.00,10.00,4.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
2174,1954,Graduation,Single,46344.00,1.00,1.00,38.00,11.00,1.00,6.00,2.00,1.00,6.00,2.00,1.00,1.00,2.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
4141,1965,Graduation,Together,71613.00,0.00,0.00,26.00,426.00,49.00,127.00,111.00,21.00,42.00,1.00,8.00,2.00,10.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
6182,1984,Graduation,Together,26646.00,1.00,0.00,26.00,11.00,4.00,20.00,10.00,3.00,5.00,2.00,2.00,0.00,4.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
5324,1981,PhD,Married,58293.00,1.00,0.00,94.00,173.00,43.00,118.00,46.00,27.00,15.00,5.00,5.00,3.00,6.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
7446,1967,Master,Together,62513.00,0.00,1.00,16.00,520.00,42.00,98.00,0.00,42.00,14.00,2.00,6.00,4.00,10.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
965,1971,Graduation,Divorced,55635.00,0.00,1.00,34.00,235.00,65.00,164.00,50.00,49.00,27.00,4.00,7.00,3.00,7.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
6177,1985,PhD,Married,33454.00,1.00,0.00,32.00,76.00,10.00,56.00,3.00,1.00,23.00,2.00,4.00,0.00,4.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
4855,1974,PhD,Together,30351.00,1.00,0.00,19.00,14.00,0.00,24.00,3.00,3.00,2.00,1.00,3.00,0.00,2.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
5899,1950,PhD,Together,5648.00,1.00,1.00,68.00,28.00,0.00,6.00,1.00,1.00,13.00,1.00,1.00,0.00,0.00,20.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1994,1983,Graduation,Married,0.00,1.00,0.00,11.00,5.00,5.00,6.00,0.00,2.00,1.00,1.00,1.00,0.00,2.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
387,1976,Basic,Married,7500.00,0.00,0.00,59.00,6.00,16.00,11.00,11.00,1.00,16.00,1.00,2.00,0.00,3.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
2125,1959,Graduation,Divorced,63033.00,0.00,0.00,82.00,194.00,61.00,480.00,225.00,112.00,30.00,1.00,3.00,4.00,8.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
8180,1952,Master,Divorced,59354.00,1.00,1.00,53.00,233.00,2.00,53.00,3.00,5.00,14.00,3.00,6.00,1.00,5.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
2569,1987,Graduation,Married,17323.00,0.00,0.00,38.00,3.00,14.00,17.00,6.00,1.00,5.00,1.00,1.00,0.00,3.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
2114,1946,PhD,Single,82800.00,0.00,0.00,23.00,1006.00,22.00,115.00,59.00,68.00,45.00,1.00,7.00,6.00,12.00,3.00,0.00,0.00,1.00,1.00,0.00,0.00,3.00,11.00,1.00
9736,1980,Graduation,Married,41850.00,1.00,1.00,51.00,53.00,5.00,19.00,2.00,13.00,4.00,3.00,3.00,0.00,3.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
4939,1946,Graduation,Together,37760.00,0.00,0.00,20.00,84.00,5.00,38.00,150.00,12.00,28.00,2.00,4.00,1.00,6.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
6565,1949,Master,Married,76995.00,0.00,1.00,91.00,1012.00,80.00,498.00,0.00,16.00,176.00,2.00,11.00,4.00,9.00,5.00,0.00,0.00,0.00,1.00,0.00,0.00,3.00,11.00,0.00
2278,1985,2n Cycle,Single,33812.00,1.00,0.00,86.00,4.00,17.00,19.00,30.00,24.00,39.00,2.00,2.00,1.00,3.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
9360,1982,Graduation,Married,37040.00,0.00,0.00,41.00,86.00,2.00,73.00,69.00,38.00,48.00,1.00,4.00,2.00,5.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
5376,1979,Graduation,Married,2447.00,1.00,0.00,42.00,1.00,1.00,1725.00,1.00,1.00,1.00,15.00,0.00,28.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1993,1949,PhD,Married,58607.00,0.00,1.00,63.00,867.00,0.00,86.00,0.00,0.00,19.00,3.00,2.00,3.00,9.00,8.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
4047,1954,PhD,Married,65324.00,0.00,1.00,0.00,384.00,0.00,102.00,21.00,32.00,5.00,3.00,6.00,2.00,9.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1409,1951,Graduation,Together,40689.00,0.00,1.00,69.00,270.00,3.00,27.00,39.00,6.00,99.00,7.00,7.00,1.00,5.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
7892,1969,Graduation,Single,18589.00,0.00,0.00,89.00,6.00,4.00,25.00,15.00,12.00,13.00,2.00,2.00,1.00,3.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
2404,1976,Graduation,Married,53359.00,1.00,1.00,4.00,173.00,4.00,30.00,3.00,6.00,41.00,4.00,5.00,1.00,4.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
5255,1986,Graduation,Single,0.00,1.00,0.00,19.00,5.00,1.00,3.00,3.00,263.00,362.00,0.00,27.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
9422,1989,Graduation,Married,38360.00,1.00,0.00,26.00,36.00,2.00,42.00,20.00,21.00,10.00,2.00,2.00,1.00,4.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1966,1965,PhD,Married,84618.00,0.00,0.00,96.00,684.00,100.00,801.00,21.00,66.00,0.00,1.00,6.00,9.00,10.00,2.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,11.00,0.00
6864,1989,Master,Divorced,10979.00,0.00,0.00,34.00,8.00,4.00,10.00,2.00,2.00,4.00,2.00,3.00,0.00,3.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
3033,1963,Master,Together,38620.00,0.00,0.00,56.00,112.00,17.00,44.00,34.00,22.00,89.00,1.00,2.00,5.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
5710,1970,Graduation,Together,40548.00,0.00,1.00,31.00,110.00,0.00,5.00,2.00,0.00,3.00,2.00,2.00,1.00,4.00,5.00,0.00,1.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
7373,1952,PhD,Divorced,46610.00,0.00,2.00,8.00,96.00,12.00,96.00,33.00,22.00,43.00,6.00,4.00,1.00,6.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
8755,1946,Master,Married,68657.00,0.00,0.00,4.00,482.00,34.00,471.00,119.00,68.00,22.00,1.00,3.00,5.00,9.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
10738,1951,Master,Single,49389.00,1.00,1.00,55.00,40.00,0.00,19.00,2.00,1.00,3.00,1.00,2.00,0.00,3.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
4339,1970,PhD,Married,67353.00,0.00,1.00,37.00,702.00,17.00,151.00,0.00,8.00,35.00,5.00,5.00,6.00,12.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
10755,1976,2n Cycle,Married,23718.00,1.00,0.00,76.00,6.00,3.00,14.00,15.00,7.00,36.00,3.00,3.00,1.00,2.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
8595,1973,Graduation,Widow,42429.00,0.00,1.00,99.00,55.00,0.00,6.00,2.00,0.00,4.00,2.00,1.00,1.00,3.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
2968,1943,PhD,Divorced,48948.00,0.00,0.00,53.00,437.00,8.00,206.00,160.00,49.00,42.00,2.00,7.00,10.00,5.00,6.00,1.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
8601,1980,Graduation,Married,80011.00,0.00,1.00,3.00,421.00,76.00,536.00,82.00,178.00,102.00,2.00,8.00,6.00,5.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
503,1985,Master,Married,20559.00,1.00,0.00,88.00,13.00,1.00,29.00,3.00,0.00,7.00,2.00,2.00,0.00,3.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
8430,1957,Graduation,Together,21994.00,0.00,1.00,4.00,9.00,0.00,6.00,3.00,1.00,3.00,1.00,0.00,0.00,3.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
7281,1959,PhD,Single,0.00,0.00,0.00,80.00,81.00,11.00,50.00,3.00,2.00,39.00,1.00,1.00,3.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
2139,1975,Master,Married,7500.00,1.00,0.00,19.00,3.00,1.00,10.00,3.00,2.00,12.00,3.00,2.00,0.00,3.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1371,1976,Graduation,Single,79941.00,0.00,0.00,72.00,123.00,164.00,266.00,227.00,30.00,174.00,1.00,2.00,4.00,9.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
9909,1996,2n Cycle,Married,7500.00,0.00,0.00,24.00,3.00,18.00,14.00,15.00,22.00,50.00,3.00,3.00,1.00,3.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
7286,1968,Graduation,Together,41728.00,1.00,0.00,92.00,13.00,6.00,15.00,3.00,5.00,13.00,1.00,2.00,0.00,2.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
7244,1951,Graduation,Single,0.00,2.00,1.00,96.00,48.00,5.00,48.00,6.00,10.00,7.00,3.00,2.00,1.00,4.00,6.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
6566,1954,PhD,Married,72550.00,1.00,1.00,39.00,826.00,50.00,317.00,50.00,38.00,38.00,9.00,5.00,2.00,12.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
8614,1957,Graduation,Widow,65486.00,0.00,1.00,29.00,245.00,19.00,125.00,37.00,67.00,14.00,1.00,4.00,2.00,10.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
4114,1964,Master,Married,79143.00,0.00,0.00,2.00,650.00,37.00,780.00,27.00,167.00,32.00,1.00,6.00,9.00,13.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
1331,1977,Graduation,Single,35790.00,1.00,0.00,54.00,12.00,6.00,20.00,30.00,1.00,3.00,2.00,2.00,0.00,3.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
2225,1977,Graduation,Divorced,82582.00,0.00,0.00,54.00,510.00,120.00,550.00,156.00,40.00,241.00,1.00,4.00,9.00,7.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,3.00,11.00,1.00
9381,1978,Graduation,Married,66373.00,1.00,1.00,57.00,328.00,9.00,124.00,12.00,24.00,109.00,7.00,4.00,2.00,10.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,0.00
6260,1955,Master,Together,82384.00,0.00,0.00,55.00,984.00,51.00,432.00,180.00,120.00,190.00,1.00,3.00,10.00,13.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,3.00,11.00,1.00
10383,1966,Graduation,Divorced,70287.00,0.00,0.00,30.00,295.00,35.00,482.00,121.00,120.00,40.00,1.00,5.00,5.00,10.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,11.00,1.00
